Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-07,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,1,,1,
Label,,,,
TIME,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
-2.96424e-02,0,-0.04,3.3,3.26
-2.96416e-02,0,0.08,3.34,3.38
-2.96408e-02,0,-0.04,3.34,3.26
-2.96400e-02,0.04,0.08,3.3,3.38
-2.96392e-02,0,-0.04,3.34,3.26
-2.96384e-02,0.04,0.08,3.3,3.38
-2.96376e-02,0,-0.04,3.34,3.3
-2.96368e-02,0,0.08,3.3,3.38
-2.96360e-02,0,-0.04,3.3,3.26
-2.96352e-02,0,0.08,3.3,3.38
-2.96344e-02,0,-0.04,3.34,3.3
-2.96336e-02,0,0.08,3.34,3.38
-2.96328e-02,0,-0.04,3.3,3.3
-2.96320e-02,0,0.08,3.34,3.38
-2.96312e-02,0,-0.04,3.34,3.3
-2.96304e-02,0,0.08,3.34,3.38
-2.96296e-02,-0.04,-0.04,3.34,3.26
-2.96288e-02,0,0.08,3.3,3.38
-2.96280e-02,0,-0.04,3.3,3.26
-2.96272e-02,0,0.08,3.3,3.38
-2.96264e-02,0,-0.04,3.3,3.26
-2.96256e-02,-0.04,0.08,3.3,3.38
-2.96248e-02,0,-0.04,3.3,3.26
-2.96240e-02,0,0.08,3.3,3.38
-2.96232e-02,0,-0.04,3.3,3.26
-2.96224e-02,0,0.08,3.3,3.38
-2.96216e-02,0,-0.04,3.3,3.26
-2.96208e-02,0,0.08,3.34,3.38
-2.96200e-02,0.04,-0.04,3.3,3.26
-2.96192e-02,0,0.08,3.3,3.38
-2.96184e-02,0,-0.04,3.34,3.26
-2.96176e-02,0,0.08,3.34,3.38
-2.96168e-02,0,-0.04,3.3,3.26
-2.96160e-02,0,0.08,3.34,3.38
-2.96152e-02,0.04,-0.04,3.3,3.3
-2.96144e-02,0,0.08,3.34,3.38
-2.96136e-02,0.04,-0.04,3.34,3.3
-2.96128e-02,0,0.08,3.3,3.38
-2.96120e-02,0,-0.04,3.34,3.26
-2.96112e-02,0,0.08,3.34,3.38
-2.96104e-02,0,-0.04,3.3,3.26
-2.96096e-02,0,0.08,3.3,3.38
-2.96088e-02,0,-0.04,3.3,3.26
-2.96080e-02,0,0.08,3.34,3.38
-2.96072e-02,0,-0.04,3.34,3.26
-2.96064e-02,0,0.08,3.3,3.38
-2.96056e-02,0,-0.04,3.34,3.26
-2.96048e-02,0,0.08,3.3,3.38
-2.96040e-02,0,-0.04,3.34,3.26
-2.96032e-02,0,0.08,3.34,3.38
-2.96024e-02,0,-0.04,3.3,3.26
-2.96016e-02,0,0.08,3.3,3.38
-2.96008e-02,0,-0.04,3.3,3.26
-2.96000e-02,0,0.08,3.3,3.38
-2.95992e-02,0,-0.04,3.34,3.26
-2.95984e-02,-0.04,0.08,3.3,3.38
-2.95976e-02,0,-0.04,3.3,3.26
-2.95968e-02,0,0.08,3.3,3.38
-2.95960e-02,0,-0.04,3.34,3.26
-2.95952e-02,0,0.08,3.3,3.38
-2.95944e-02,0,-0.04,3.34,3.26
-2.95936e-02,0,0.08,3.34,3.38
-2.95928e-02,0,-0.04,3.34,3.3
-2.95920e-02,0,0.08,3.3,3.38
-2.95912e-02,0,-0.04,3.3,3.3
-2.95904e-02,-0.04,0.08,3.34,3.38
-2.95896e-02,0,-0.04,3.3,3.26
-2.95888e-02,0,0.08,3.3,3.38
-2.95880e-02,0,-0.04,3.3,3.26
-2.95872e-02,0,0.08,3.3,3.38
-2.95864e-02,0,-0.04,3.34,3.3
-2.95856e-02,0,0.08,3.3,3.38
-2.95848e-02,0,-0.04,3.3,3.3
-2.95840e-02,0,0.08,3.3,3.38
-2.95832e-02,0,-0.04,3.34,3.26
-2.95824e-02,0,0.04,3.34,3.38
-2.95816e-02,0,-0.04,3.3,3.3
-2.95808e-02,0,0.08,3.3,3.38
-2.95800e-02,0,-0.04,3.34,3.26
-2.95792e-02,0,0.08,3.34,3.38
-2.95784e-02,0,-0.04,3.34,3.3
-2.95776e-02,0,0.08,3.34,3.38
-2.95768e-02,0,-0.04,3.3,3.3
